	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																																														
borddummy5																									-0.0996	-0.0919		0.113**	0.137**		0.120	0.117		0.108**	0.131**																										-0.0996	-0.0919
																									(0.0707)	(0.0712)		(0.0140)	(0.0140)		(0.0653)	(0.0656)		(0.0173)	(0.0174)																										(0.0707)	(0.0712)
borddummy6																															0.165	0.160		0.150**	0.179**																											
																															(0.0865)	(0.0870)		(0.0193)	(0.0193)																											
Constant	-1.270**	-0.216	-1.054**	-0.142	0.955	0.986	-1.385**	0.148	-1.222**	0.0350	1.139**	1.320**	-1.074**	0.0699	-0.871**	-0.127	0.936*	1.215**	-0.663	0.380	-0.390	-0.403	0.662	1.010*	-0.829*	-0.0907	-0.966**	-0.451	0.547	0.888*	-0.255	0.672	-0.0184	-0.935	0.0799	0.195	-1.270**	-0.216	-1.054**	-0.142	0.955	0.986	-1.385**	0.148	-1.222**	0.0350	1.139**	1.320**	-1.074**	0.0699	-0.871**	-0.127	0.936*	1.215**	-0.663	0.380	-0.390	-0.403	0.662	1.010*	-0.829*	-0.0907
	(0.300)	(0.215)	(0.311)	(9,888)	(9,905)	(10,550)	(0.252)	(0.179)	(0.263)	(0.401)	(0.397)	(0.423)	(0.255)	(0.203)	(0.258)	(0.411)	(0.406)	(0.434)	(0.341)	(0.289)	(0.337)	(0.419)	(0.415)	(0.442)	(0.341)	(0.308)	(0.351)	(0.434)	(0.428)	(0.453)	(0.391)	(0.359)	(0.389)	(9,249)	(9,289)	(9,773)	(0.300)	(0.215)	(0.311)	(9,888)	(9,905)	(10,550)	(0.252)	(0.179)	(0.263)	(0.401)	(0.397)	(0.423)	(0.255)	(0.203)	(0.258)	(0.411)	(0.406)	(0.434)	(0.341)	(0.289)	(0.337)	(0.419)	(0.415)	(0.442)	(0.341)	(0.308)
																																																														
Observations	82,867	82,867	82,867	82,867	82,867	82,867	128,092	128,092	128,092	128,092	128,092	128,092	130,628	130,628	130,628	130,628	130,628	130,628	113,807	113,807	113,807	113,807	113,807	113,807	91,988	91,988	91,988	91,988	91,988	91,988	69,584	69,584	69,584	69,584	69,584	69,584	82,867	82,867	82,867	82,867	82,867	82,867	128,092	128,092	128,092	128,092	128,092	128,092	130,628	130,628	130,628	130,628	130,628	130,628	113,807	113,807	113,807	113,807	113,807	113,807	91,988	91,988
R-squared	0.203	0.199	0.056	0.204	0.200	0.092	0.182	0.173	-0.040	0.195	0.190	0.077	0.175	0.167	-0.010	0.182	0.177	0.061	0.164	0.151	0.002	0.170	0.164	0.052	0.126	0.114	-0.039	0.154	0.147	0.046	0.144	0.137	0.039	0.144	0.137	0.045	0.203	0.199	0.056	0.204	0.200	0.092	0.182	0.173	-0.040	0.195	0.190	0.077	0.175	0.167	-0.010	0.182	0.177	0.061	0.164	0.151	0.002	0.170	0.164	0.052	0.126	0.114
Standard errors in parentheses																																																														
** p<0.01, * p<0.05																																																														
