	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg	terminated_preg
										
	(0.0460)	(0.0457)	(0.0459)	(0.0457)	(0.0521)	(0.0511)	(0.0764)	(0.0775)	(0.0391)	(0.0376)
1945.year_birth	0.225***	0.222***	0.224***	0.221***	0.162**	0.172**	-0.00961	0.000189	-0.658***	-0.654***
	(0.0516)	(0.0525)	(0.0516)	(0.0526)	(0.0598)	(0.0616)	(0.00880)	(0.00757)	(0.0405)	(0.0446)
1946.year_birth	0.219***	0.216***	0.217***	0.215***	0.157***	0.166***	0.0873	0.104	-0.712***	-0.700***
	(0.0559)	(0.0561)	(0.0561)	(0.0564)	(0.0503)	(0.0498)	(0.120)	(0.125)	(0.0176)	(0.0233)
1947.year_birth	0.225***	0.223***	0.223***	0.221***	0.136**	0.144**	0.158***	0.177***	-0.677***	-0.663***
	(0.0506)	(0.0506)	(0.0505)	(0.0506)	(0.0613)	(0.0623)	(0.0224)	(0.0249)	(0.0298)	(0.0298)
1948.year_birth	0.201***	0.199***	0.199***	0.197***	0.120**	0.128**	0.0966**	0.119**	-0.680***	-0.665***
	(0.0480)	(0.0480)	(0.0480)	(0.0480)	(0.0505)	(0.0507)	(0.0444)	(0.0499)	(0.0175)	(0.0274)
1949.year_birth	0.197***	0.195***	0.195***	0.193***	0.0933	0.101	0.121***	0.147***	-0.681***	-0.666***
	(0.0459)	(0.0458)	(0.0456)	(0.0457)	(0.0683)	(0.0699)	(0.0159)	(0.0208)	(0.0182)	(0.0277)
1950.year_birth	0.178***	0.177***	0.177***	0.175***	0.0997	0.109	0.0643***	0.0910***	-0.688***	-0.672***
	(0.0419)	(0.0423)	(0.0415)	(0.0420)	(0.0683)	(0.0701)	(0.0198)	(0.0227)	(0.0177)	(0.0291)
1951.year_birth	0.168***	0.166***	0.166***	0.164***	0.0601	0.0679	0.0824***	0.111***	-0.695***	-0.677***
	(0.0442)	(0.0442)	(0.0442)	(0.0443)	(0.0598)	(0.0594)	(0.0171)	(0.0251)	(0.0309)	(0.0431)
1952.year_birth	0.159***	0.158***	0.157***	0.156***	0.0603	0.0673	0.0601***	0.0893***	-0.701***	-0.682***
	(0.0409)	(0.0411)	(0.0406)	(0.0408)	(0.0542)	(0.0537)	(0.0160)	(0.0206)	(0.0197)	(0.0323)
1953.year_birth	0.159***	0.158***	0.158***	0.156***	0.0782	0.0859	0.0796***	0.109***	-0.751***	-0.732***
	(0.0387)	(0.0389)	(0.0389)	(0.0391)	(0.0518)	(0.0514)	(0.0188)	(0.0170)	(0.0276)	(0.0399)
1954.year_birth	0.149***	0.148***	0.147***	0.146***	0.0437	0.0508	0.0643**	0.0952***	-0.721***	-0.700***
	(0.0355)	(0.0358)	(0.0354)	(0.0357)	(0.0506)	(0.0505)	(0.0258)	(0.0253)	(0.0244)	(0.0384)
1955.year_birth	0.140***	0.139***	0.138***	0.137***	0.0445	0.0506	0.0423***	0.0743***	-0.728***	-0.706***
	(0.0378)	(0.0379)	(0.0376)	(0.0377)	(0.0478)	(0.0478)	(0.0114)	(0.0181)	(0.0217)	(0.0369)
1956.year_birth	0.131***	0.130***	0.129***	0.128***	0.0468	0.0524	0.0298*	0.0636**	-0.744***	-0.721***
	(0.0372)	(0.0374)	(0.0371)	(0.0372)	(0.0426)	(0.0416)	(0.0153)	(0.0225)	(0.0167)	(0.0342)
1957.year_birth	0.111***	0.110***	0.109***	0.109***	0.0146	0.0193	0.00473	0.0399*	-0.734***	-0.710***
	(0.0344)	(0.0346)	(0.0342)	(0.0345)	(0.0448)	(0.0437)	(0.0281)	(0.0205)	(0.0218)	(0.0399)
1958.year_birth	0.108***	0.108***	0.106***	0.106***	0.0292	0.0329	0.00131	0.0371*	-0.765***	-0.741***
	(0.0352)	(0.0355)	(0.0351)	(0.0353)	(0.0436)	(0.0426)	(0.0262)	(0.0209)	(0.0205)	(0.0360)
1959.year_birth	0.105***	0.105***	0.103***	0.103***	0.0321	0.0359	-0.00697	0.0297	-0.762***	-0.736***
	(0.0323)	(0.0325)	(0.0321)	(0.0323)	(0.0410)	(0.0395)	(0.0261)	(0.0190)	(0.0186)	(0.0355)
1960.year_birth	0.0913***	0.0913***	0.0897***	0.0897***	0.0258	0.0291	-0.0315	0.00599	-0.763***	-0.737***
	(0.0332)	(0.0334)	(0.0331)	(0.0332)	(0.0420)	(0.0408)	(0.0312)	(0.0221)	(0.0192)	(0.0380)
1961.year_birth	0.0856**	0.0858**	0.0839**	0.0841**	0.0156	0.0186	-0.0372	0.00185	-0.774***	-0.747***
	(0.0335)	(0.0335)	(0.0334)	(0.0335)	(0.0373)	(0.0359)	(0.0341)	(0.0243)	(0.0182)	(0.0355)
1962.year_birth	0.0843***	0.0846***	0.0826***	0.0829***	0.00934	0.0116	-0.0312	0.00778	-0.779***	-0.751***
	(0.0304)	(0.0305)	(0.0303)	(0.0303)	(0.0364)	(0.0352)	(0.0330)	(0.0253)	(0.0192)	(0.0373)
1963.year_birth	0.0737**	0.0741**	0.0722**	0.0726**	0.00758	0.00917	-0.0505	-0.0109	-0.784***	-0.756***
	(0.0284)	(0.0284)	(0.0283)	(0.0282)	(0.0347)	(0.0335)	(0.0329)	(0.0258)	(0.0225)	(0.0434)
1964.year_birth	0.0699**	0.0705**	0.0684**	0.0690**	-0.00289	-0.00163	-0.0485	-0.00771	-0.794***	-0.764***
	(0.0283)	(0.0282)	(0.0282)	(0.0281)	(0.0354)	(0.0341)	(0.0348)	(0.0255)	(0.0236)	(0.0457)
1965.year_birth	0.0609**	0.0616**	0.0594**	0.0601**	0.00621	0.00689	-0.0764*	-0.0346	-0.791***	-0.761***
	(0.0294)	(0.0289)	(0.0293)	(0.0288)	(0.0376)	(0.0363)	(0.0385)	(0.0277)	(0.0251)	(0.0466)
1966.year_birth	0.0697**	0.0705**	0.0684**	0.0691**	0.00415	0.00485	-0.0461	-0.00442	-0.809***	-0.778***
	(0.0272)	(0.0271)	(0.0272)	(0.0270)	(0.0320)	(0.0306)	(0.0372)	(0.0281)	(0.0287)	(0.0508)
1967.year_birth	0.0641**	0.0649**	0.0627**	0.0636**	-0.00713	-0.00723	-0.0577	-0.0154	-0.796***	-0.765***
	(0.0257)	(0.0255)	(0.0256)	(0.0254)	(0.0330)	(0.0319)	(0.0393)	(0.0296)	(0.0270)	(0.0476)
1968.year_birth	0.0612**	0.0621**	0.0599**	0.0608**	-0.00981	-0.00997	-0.0673*	-0.0251	-0.785***	-0.753***
	(0.0244)	(0.0242)	(0.0243)	(0.0240)	(0.0323)	(0.0311)	(0.0383)	(0.0306)	(0.0325)	(0.0562)
