	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																			
yearc56	-0.132	-0.518***	-0.121	-0.141	-0.280**	-0.584***	0.0173	-0.0588	-0.478***	-0.669***	-0.243	-0.256	-0.199	-0.621***	-0.139	-0.104	-0.220	-0.577***	-0.251
	(0.210)	(0.0549)	(0.233)	(0.226)	(0.115)	(0.126)	(0.312)	(0.302)	(0.109)	(0.118)	(0.280)	(0.270)	(1,723)	(0.141)	(0.278)	(0.268)	(1,686)	(0.188)	(0.332)
yearc57	-0.0672	-0.442***	-0.394***	-0.449***	-0.257**	-0.563***	-0.472***	-0.569***	-0.392***	-0.578***	-0.535***	-0.616***	-0.131	-0.548***	-0.508***	-0.537***	-0.140	-0.494***	-0.424**
	(0.209)	(0.0503)	(0.0568)	(0.0558)	(0.108)	(0.119)	(0.132)	(0.131)	(0.105)	(0.113)	(0.123)	(0.121)	(1,723)	(0.137)	(0.140)	(0.136)	(1,686)	(0.185)	(0.185)
yearc58	0.0436	-0.314***	-0.266***	-0.300***	-0.0857	-0.339***	-0.198*	-0.271**	-0.277***	-0.441***	-0.347***	-0.397***	-0.0232	-0.415***	-0.339**	-0.344***	-0.0170	-0.351*	-0.254
	(0.209)	(0.0486)	(0.0504)	(0.0495)	(0.105)	(0.113)	(0.120)	(0.119)	(0.103)	(0.110)	(0.114)	(0.112)	(1,723)	(0.135)	(0.135)	(0.130)	(1,686)	(0.184)	(0.182)
yearc59	0.0190	-0.329***	-0.265***	-0.295***	-0.155	-0.361***	-0.283**	-0.337***	-0.316***	-0.451***	-0.369***	-0.415***	-0.0603	-0.423***	-0.344***	-0.350***	-0.0445	-0.357*	-0.259
	(0.209)	(0.0482)	(0.0492)	(0.0483)	(0.105)	(0.110)	(0.114)	(0.113)	(0.102)	(0.108)	(0.110)	(0.108)	(1,723)	(0.134)	(0.133)	(0.128)	(1,686)	(0.183)	(0.181)
yearc60	-0.0237	-0.359***	-0.288***	-0.325***	-0.204*	-0.373***	-0.252**	-0.334***	-0.371***	-0.475***	-0.360***	-0.423***	-0.114	-0.457***	-0.373***	-0.385***	-0.102	-0.393**	-0.298*
	(0.209)	(0.0478)	(0.0483)	(0.0474)	(0.104)	(0.108)	(0.110)	(0.108)	(0.102)	(0.107)	(0.108)	(0.106)	(1,723)	(0.133)	(0.131)	(0.127)	(1,686)	(0.182)	(0.180)
yearc61	0.0173	-0.298***	-0.281***	-0.312***	-0.147	-0.274***	-0.216**	-0.295***	-0.339***	-0.417***	-0.377***	-0.426***	-0.0768	-0.402***	-0.390***	-0.392***	-0.0711	-0.353*	-0.308*
	(0.209)	(0.0475)	(0.0475)	(0.0466)	(0.104)	(0.106)	(0.108)	(0.107)	(0.102)	(0.106)	(0.107)	(0.105)	(1,723)	(0.133)	(0.130)	(0.126)	(1,686)	(0.182)	(0.179)
yearc62	0.0385	-0.277***	-0.289***	-0.333***	-0.133	-0.259**	-0.265**	-0.347***	-0.308***	-0.385***	-0.365***	-0.432***	-0.0367	-0.359***	-0.381***	-0.404***	-0.0423	-0.321*	-0.305*
	(0.209)	(0.0474)	(0.0470)	(0.0462)	(0.104)	(0.106)	(0.106)	(0.105)	(0.102)	(0.106)	(0.106)	(0.103)	(1,723)	(0.133)	(0.130)	(0.126)	(1,686)	(0.182)	(0.179)
yearc63	0.0375	-0.265***	-0.291***	-0.333***	-0.136	-0.240**	-0.248**	-0.343***	-0.324***	-0.385***	-0.370***	-0.441***	-0.0629	-0.373***	-0.393***	-0.411***	-0.0511	-0.322*	-0.316*
	(0.209)	(0.0473)	(0.0466)	(0.0458)	(0.104)	(0.106)	(0.104)	(0.102)	(0.102)	(0.106)	(0.104)	(0.102)	(1,723)	(0.132)	(0.129)	(0.125)	(1,686)	(0.182)	(0.179)
yearc64	0.0185	-0.279***	-0.327***	-0.378***	-0.169	-0.252**	-0.304***	-0.399***	-0.350***	-0.394***	-0.411***	-0.489***	-0.0896	-0.389***	-0.452***	-0.475***	-0.0782	-0.341*	-0.350**
	(0.209)	(0.0472)	(0.0460)	(0.0452)	(0.104)	(0.105)	(0.0998)	(0.0980)	(0.102)	(0.105)	(0.102)	(0.0995)	(1,723)	(0.132)	(0.128)	(0.123)	(1,686)	(0.182)	(0.178)
yearc65	0.0366	-0.252***	-0.300***	-0.349***	-0.136	-0.209**	-0.258***	-0.358***	-0.336***	-0.369***	-0.373***	-0.460***	-0.0731	-0.366***	-0.424***	-0.452***	-0.0630	-0.320*	-0.319*
	(0.209)	(0.0472)	(0.0458)	(0.0449)	(0.104)	(0.105)	(0.0987)	(0.0967)	(0.102)	(0.105)	(0.101)	(0.0985)	(1,723)	(0.132)	(0.127)	(0.123)	(1,686)	(0.182)	(0.177)
yearc66	0.0589	-0.227***	-0.266***	-0.313***	-0.130	-0.200*	-0.255***	-0.341***	-0.309***	-0.340***	-0.359***	-0.434***	-0.0477	-0.341***	-0.396***	-0.420***	-0.0417	-0.296	-0.298*
	(0.209)	(0.0471)	(0.0457)	(0.0448)	(0.104)	(0.105)	(0.0985)	(0.0965)	(0.101)	(0.105)	(0.101)	(0.0983)	(1,723)	(0.132)	(0.127)	(0.123)	(1,686)	(0.182)	(0.177)
yearc67	0.0595	-0.220***	-0.257***	-0.305***	-0.120	-0.172	-0.223**	-0.319***	-0.308***	-0.334***	-0.329***	-0.412***	-0.0416	-0.333**	-0.376***	-0.405***	-0.0374	-0.294	-0.281
	(0.209)	(0.0471)	(0.0456)	(0.0447)	(0.104)	(0.105)	(0.0979)	(0.0957)	(0.101)	(0.105)	(0.101)	(0.0980)	(1,723)	(0.132)	(0.127)	(0.123)	(1,686)	(0.182)	(0.177)
yearc68	0.0599	-0.215***	-0.225***	-0.270***	-0.133	-0.187*	-0.204**	-0.297***	-0.317***	-0.342***	-0.308***	-0.388***	-0.0547	-0.343***	-0.359***	-0.385***	-0.0455	-0.298	-0.263
	(0.209)	(0.0471)	(0.0455)	(0.0446)	(0.104)	(0.105)	(0.0979)	(0.0956)	(0.101)	(0.105)	(0.100)	(0.0979)	(1,723)	(0.132)	(0.127)	(0.122)	(1,686)	(0.182)	(0.177)
yearc69	0.103	-0.166***	-0.203***	-0.254***	-0.0894	-0.139	-0.185*	-0.281***	-0.281***	-0.304***	-0.295***	-0.378***	-0.0228	-0.311**	-0.349***	-0.376***	-0.00386	-0.256	-0.239
	(0.209)	(0.0471)	(0.0455)	(0.0446)	(0.104)	(0.105)	(0.0978)	(0.0955)	(0.101)	(0.105)	(0.100)	(0.0978)	(1,723)	(0.132)	(0.127)	(0.122)	(1,686)	(0.182)	(0.177)
yearc70	0.101	-0.168***	-0.188***	-0.235***	-0.0705	-0.113	-0.163*	-0.257***	-0.268***	-0.291***	-0.271***	-0.352***	-0.0131	-0.301**	-0.327***	-0.352***	-0.00135	-0.253	-0.227
	(0.209)	(0.0471)	(0.0454)	(0.0445)	(0.104)	(0.105)	(0.0976)	(0.0952)	(0.101)	(0.105)	(0.100)	(0.0976)	(1,723)	(0.132)	(0.126)	(0.122)	(1,686)	(0.182)	(0.177)
yearc71	0.117	-0.143***	-0.188***	-0.235***	-0.0622	-0.0904	-0.165*	-0.255***	-0.268***	-0.281***	-0.282***	-0.364***	-0.0149	-0.297**	-0.345***	-0.365***	-0.00676	-0.252	-0.246
	(0.209)	(0.0471)	(0.0454)	(0.0445)	(0.104)	(0.105)	(0.0976)	(0.0950)	(0.101)	(0.105)	(0.100)	(0.0975)	(1,723)	(0.132)	(0.126)	(0.122)	(1,686)	(0.182)	(0.177)
yearc72	0.113	-0.148***	-0.178***	-0.226***	-0.0679	-0.0931	-0.164*	-0.257***	-0.261**	-0.273***	-0.269***	-0.351***	-0.00715	-0.286**	-0.326***	-0.353***	0.00160	-0.243	-0.228
	(0.209)	(0.0470)	(0.0454)	(0.0445)	(0.104)	(0.105)	(0.0976)	(0.0950)	(0.101)	(0.105)	(0.100)	(0.0974)	(1,723)	(0.132)	(0.126)	(0.122)	(1,686)	(0.182)	(0.177)
yearc73	0.127	-0.123***	-0.124***	-0.169***	-0.0481	-0.0664	-0.109	-0.203**	-0.233**	-0.238**	-0.206**	-0.289***	0.0185	-0.257*	-0.282**	-0.305**	0.0142	-0.226	-0.193
