	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																				
yearc22	0.263	0.794***	0.967***	0.825***	-0.328	1.245***	1.095**	0.926**	-0.0580	1.037***	0.923***	0.770**	1.391	0.606*	0.433	0.313	-1.145	0.875**	0.359	0.291
	(0.544)	(0.151)	(0.204)	(0.200)	(1.120)	(0.406)	(0.443)	(0.440)	(0.684)	(0.325)	(0.353)	(0.344)	(4,907)	(0.316)	(0.323)	(0.315)	(0.840)	(0.355)	(0.346)	(0.336)
yearc23	0.0759	0.612***	0.565***	0.475***	-0.542	0.929**	0.775**	0.643*	-0.126	0.972***	0.533*	0.481	1.350	0.559*	0.0695	0.0247	-1.475*	0.458	0.108	0.0808
	(0.541)	(0.140)	(0.167)	(0.164)	(1.114)	(0.377)	(0.362)	(0.361)	(0.680)	(0.315)	(0.303)	(0.296)	(4,907)	(0.306)	(0.289)	(0.283)	(0.834)	(0.340)	(0.320)	(0.311)
yearc24	0.0278	0.549***	0.315*	0.307*	-0.907	0.660*	0.251	0.236	-0.503	0.606*	0.185	0.182	1.169	0.383	-0.0811	-0.0434	-1.599*	0.404	-0.0374	-0.0217
	(0.543)	(0.144)	(0.173)	(0.170)	(1.119)	(0.399)	(0.382)	(0.380)	(0.684)	(0.325)	(0.311)	(0.304)	(4,907)	(0.313)	(0.295)	(0.288)	(0.839)	(0.353)	(0.330)	(0.321)
yearc25	-0.226	0.237*	-0.248	-0.265*	-0.952	0.425	-0.210	-0.250	-0.611	0.354	-0.369	-0.326	0.975	0.104	-0.591**	-0.510*	-1.850**	0.0955	-0.588*	-0.559*
	(0.542)	(0.141)	(0.162)	(0.160)	(1.115)	(0.378)	(0.349)	(0.347)	(0.680)	(0.314)	(0.296)	(0.288)	(4,907)	(0.309)	(0.291)	(0.285)	(0.838)	(0.349)	(0.330)	(0.321)
yearc26	-0.242	0.287**	-0.222	-0.223	-1.118	0.293	-0.421	-0.371	-0.653	0.374	-0.326	-0.238	1.027	0.231	-0.437	-0.354	-1.793**	0.218	-0.431	-0.372
	(0.541)	(0.140)	(0.151)	(0.149)	(1.116)	(0.382)	(0.344)	(0.342)	(0.680)	(0.314)	(0.288)	(0.281)	(4,907)	(0.310)	(0.278)	(0.272)	(0.839)	(0.351)	(0.320)	(0.311)
yearc27	-0.374	0.110	-0.334**	-0.334**	-1.173	0.127	-0.562*	-0.526	-0.769	0.223	-0.517*	-0.463*	0.837	0.0193	-0.548**	-0.525*	-1.904**	0.0224	-0.435	-0.404
	(0.541)	(0.139)	(0.146)	(0.144)	(1.117)	(0.385)	(0.335)	(0.333)	(0.681)	(0.317)	(0.279)	(0.272)	(4,907)	(0.310)	(0.279)	(0.273)	(0.840)	(0.355)	(0.328)	(0.318)
yearc28	-0.500	-0.0664	-0.469***	-0.432***	-1.332	-0.0306	-0.554*	-0.476	-0.817	0.0874	-0.536**	-0.428	0.677	-0.153	-0.623**	-0.520*	-1.961**	-0.0438	-0.497	-0.455
	(0.541)	(0.136)	(0.139)	(0.136)	(1.114)	(0.369)	(0.326)	(0.324)	(0.679)	(0.308)	(0.272)	(0.265)	(4,907)	(0.309)	(0.274)	(0.268)	(0.843)	(0.360)	(0.326)	(0.316)
yearc29	-0.165	0.321	-0.316	0.0124	-1.573	1.061	-0.557	-0.182	-0.817	0.617	-0.468	-0.115	0.828	0.303	-0.429	0.0752	-1.928	0.336	-0.515	0.425
