	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
															
yearc53	-0.401	-0.630*	0.739*	0.282	-3.856*	-1.389	4.095	-2.665***	-2.064**	4.268	-1.769**	-0.991	0.353	-1.113*	-0.189
	(15,403)	(0.342)	(0.405)	(3.897)	(2.303)	(1.743)	(3.739)	(0.779)	(1.031)	(3.775)	(0.690)	(0.843)	(13,176)	(0.581)	(0.642)
yearc54	-0.571	-0.789**	0.586	0.151	-3.682*	-1.506	3.949	-2.721***	-2.041**	4.152	-1.824***	-0.980	0.206	-1.218**	-0.291
	(15,403)	(0.339)	(0.390)	(3.897)	(2.134)	(1.655)	(3.739)	(0.764)	(0.970)	(3.775)	(0.681)	(0.800)	(13,176)	(0.576)	(0.617)
yearc55	-0.471	-0.690**	0.480	0.218	-3.649*	-1.419	4.042	-2.581***	-1.942**	4.232	-1.700**	-0.993	0.290	-1.108*	-0.272
	(15,403)	(0.338)	(0.373)	(3.897)	(2.152)	(1.535)	(3.739)	(0.756)	(0.902)	(3.775)	(0.674)	(0.752)	(13,176)	(0.573)	(0.588)
yearc56	-0.506	-0.708**	0.496	0.139	-3.481*	-1.223	4.011	-2.348***	-1.584**	4.177	-1.602**	-0.815	0.200	-1.136**	-0.307
	(15,403)	(0.335)	(0.360)	(3.897)	(2.017)	(1.429)	(3.739)	(0.718)	(0.806)	(3.775)	(0.655)	(0.684)	(13,176)	(0.568)	(0.557)
yearc57	-0.348	-0.542	0.539	0.411	-3.022	-0.947	4.144	-2.163***	-1.564*	4.268	-1.457**	-0.772	0.286	-0.997*	-0.275
	(15,403)	(0.334)	(0.356)	(3.897)	(1.916)	(1.388)	(3.739)	(0.711)	(0.805)	(3.775)	(0.649)	(0.682)	(13,176)	(0.564)	(0.550)
yearc58	-0.376	-0.553*	0.464	0.265	-2.884	-1.077	4.073	-2.026***	-1.530**	4.244	-1.353**	-0.692	0.350	-0.885	-0.129
	(15,403)	(0.332)	(0.346)	(3.897)	(1.767)	(1.279)	(3.739)	(0.687)	(0.739)	(3.775)	(0.637)	(0.643)	(13,176)	(0.562)	(0.536)
yearc59	-0.406	-0.573*	0.346	0.342	-2.780	-0.911	4.132	-1.890***	-1.333*	4.168	-1.376**	-0.751	0.188	-1.009*	-0.326
	(15,403)	(0.330)	(0.338)	(3.897)	(1.753)	(1.233)	(3.739)	(0.678)	(0.696)	(3.775)	(0.632)	(0.611)	(13,176)	(0.560)	(0.522)
yearc60	-0.437	-0.601*	0.152	0.192	-2.834*	-1.076	4.052	-1.969***	-1.459**	4.194	-1.331**	-0.826	0.165	-1.028*	-0.413
	(15,403)	(0.330)	(0.333)	(3.897)	(1.703)	(1.161)	(3.739)	(0.678)	(0.672)	(3.775)	(0.630)	(0.594)	(13,176)	(0.559)	(0.513)
yearc61	-0.362	-0.510	0.123	0.413	-2.382	-0.706	4.167	-1.634**	-1.217**	4.220	-1.187*	-0.721	0.249	-0.877	-0.395
	(15,403)	(0.329)	(0.324)	(3.897)	(1.587)	(1.047)	(3.739)	(0.657)	(0.607)	(3.775)	(0.620)	(0.557)	(13,176)	(0.556)	(0.496)
yearc62	-0.418	-0.560*	0.0202	0.279	-2.481	-0.758	4.053	-1.670**	-1.146**	4.188	-1.181*	-0.693	0.227	-0.870	-0.378
	(15,403)	(0.328)	(0.318)	(3.897)	(1.569)	(0.991)	(3.739)	(0.649)	(0.572)	(3.775)	(0.617)	(0.539)	(13,176)	(0.555)	(0.490)
yearc63	-0.349	-0.480	-0.0147	0.280	-2.342	-0.756	4.120	-1.528**	-1.097**	4.245	-1.072*	-0.622	0.247	-0.820	-0.347
	(15,403)	(0.327)	(0.315)	(3.897)	(1.501)	(0.942)	(3.739)	(0.644)	(0.552)	(3.775)	(0.614)	(0.526)	(13,176)	(0.554)	(0.484)
yearc64	-0.292	-0.412	-0.0844	0.334	-2.091	-0.645	4.123	-1.335**	-0.989*	4.246	-0.910	-0.580	0.304	-0.694	-0.316
	(15,403)	(0.327)	(0.312)	(3.897)	(1.408)	(0.867)	(3.739)	(0.633)	(0.517)	(3.775)	(0.607)	(0.499)	(13,176)	(0.553)	(0.477)
yearc65	-0.282	-0.399	-0.121	0.440	-1.866	-0.492	4.174	-1.278**	-0.893*	4.293	-0.876	-0.538	0.376	-0.606	-0.270
	(15,403)	(0.327)	(0.310)	(3.897)	(1.355)	(0.805)	(3.739)	(0.633)	(0.503)	(3.775)	(0.607)	(0.495)	(13,176)	(0.553)	(0.475)
yearc66	-0.240	-0.348	-0.137	0.434	-1.737	-0.626	4.238	-1.080*	-0.855*	4.362	-0.704	-0.539	0.446	-0.488	-0.266
	(15,403)	(0.328)	(0.310)	(3.897)	(1.297)	(0.775)	(3.739)	(0.628)	(0.492)	(3.775)	(0.605)	(0.488)	(13,176)	(0.553)	(0.475)
yearc67	-0.176	-0.272	-0.159	0.481	-1.509	-0.423	4.268	-0.900	-0.686	4.406	-0.607	-0.434	0.445	-0.464	-0.235
	(15,403)	(0.327)	(0.309)	(3.897)	(1.221)	(0.715)	(3.739)	(0.623)	(0.477)	(3.775)	(0.603)	(0.481)	(13,176)	(0.553)	(0.474)
yearc68	-0.207	-0.302	-0.184	0.423	-1.514	-0.452	4.243	-0.878	-0.661	4.386	-0.562	-0.349	0.434	-0.439	-0.163
